grid,eeacellcode,last_ym,staleness_months,total_occurrences,priority_reason
grid10km,10kmE484N401,1994-02-01,383,2,Not sampled in 31.9 years
grid10km,10kmE490N401,1994-03-01,382,1,Not sampled in 31.8 years
grid10km,10kmE492N409,1994-03-01,382,2,Not sampled in 31.8 years
grid10km,10kmE489N408,1994-03-01,382,1,Not sampled in 31.8 years
grid10km,10kmE485N399,1994-04-01,381,2,Not sampled in 31.8 years
grid10km,10kmE444N371,1994-05-01,380,3,Not sampled in 31.7 years
grid10km,10kmE402N456,1994-05-01,380,1,Not sampled in 31.7 years
grid10km,10kmE406N497,1994-05-01,380,1,Not sampled in 31.7 years
grid10km,10kmE441N360,1994-06-01,379,3,Not sampled in 31.6 years
grid10km,10kmE454N350,1994-06-01,379,2,Not sampled in 31.6 years
grid10km,10kmE451N352,1994-06-01,379,1,Not sampled in 31.6 years
grid10km,10kmE488N395,1994-06-01,379,7,Not sampled in 31.6 years
grid10km,10kmE441N364,1994-07-01,378,2,Not sampled in 31.5 years
grid10km,10kmE443N364,1994-07-01,378,2,Not sampled in 31.5 years
grid10km,10kmE440N357,1994-07-01,378,2,Not sampled in 31.5 years
grid10km,10kmE450N352,1994-07-01,378,2,Not sampled in 31.5 years
grid10km,10kmE440N368,1994-09-01,376,2,Not sampled in 31.3 years
grid10km,10kmE536N387,1994-10-01,375,1,Not sampled in 31.2 years
grid10km,10kmE491N410,1995-02-01,371,1,Not sampled in 30.9 years
grid10km,10kmE494N407,1995-03-01,370,2,Not sampled in 30.8 years
grid10km,10kmE494N399,1995-03-01,370,1,Not sampled in 30.8 years
grid10km,10kmE495N409,1995-03-01,370,2,Not sampled in 30.8 years
grid10km,10kmE482N419,1995-03-01,370,1,Not sampled in 30.8 years
grid10km,10kmE491N415,1995-03-01,370,1,Not sampled in 30.8 years
grid10km,10kmE491N397,1995-03-01,370,1,Not sampled in 30.8 years
grid10km,10kmE492N395,1995-03-01,370,1,Not sampled in 30.8 years
grid10km,10kmE460N355,1995-04-01,369,2,Not sampled in 30.8 years
grid10km,10kmE455N356,1995-05-01,368,1,Not sampled in 30.7 years
grid10km,10kmE458N352,1995-06-01,367,3,Not sampled in 30.6 years
grid10km,10kmE442N361,1995-06-01,367,2,Not sampled in 30.6 years
grid10km,10kmE441N447,1995-06-01,367,224,Not sampled in 30.6 years
grid10km,10kmE447N357,1995-07-01,366,5,Not sampled in 30.5 years
grid10km,10kmE444N359,1995-07-01,366,4,Not sampled in 30.5 years
grid10km,10kmE446N356,1995-07-01,366,2,Not sampled in 30.5 years
grid10km,10kmE446N352,1995-07-01,366,2,Not sampled in 30.5 years
grid10km,10kmE481N392,1995-07-01,366,13,Not sampled in 30.5 years
grid10km,10kmE442N365,1995-08-01,365,2,Not sampled in 30.4 years
grid10km,10kmE439N358,1995-08-01,365,3,Not sampled in 30.4 years
grid10km,10kmE452N354,1995-09-01,364,3,Not sampled in 30.3 years
grid10km,10kmE434N416,1995-09-01,364,1,Not sampled in 30.3 years
grid10km,10kmE409N438,1995-09-01,364,1,Not sampled in 30.3 years
grid10km,10kmE519N364,1995-11-01,362,1,Not sampled in 30.2 years
grid10km,10kmE472N522,1996-01-01,360,1,Not sampled in 30 years
grid10km,10kmE450N503,1996-02-01,359,1,Not sampled in 29.9 years
grid10km,10kmE480N395,1996-03-01,358,2,Not sampled in 29.8 years
grid10km,10kmE443N358,1996-03-01,358,2,Not sampled in 29.8 years
grid10km,10kmE456N353,1996-03-01,358,4,Not sampled in 29.8 years
grid10km,10kmE495N387,1996-03-01,358,1,Not sampled in 29.8 years
grid10km,10kmE485N400,1996-03-01,358,2,Not sampled in 29.8 years
grid10km,10kmE489N410,1996-03-01,358,2,Not sampled in 29.8 years
grid10km,10kmE502N406,1996-03-01,358,1,Not sampled in 29.8 years
grid10km,10kmE486N397,1996-04-01,357,2,Not sampled in 29.8 years
grid10km,10kmE484N403,1996-04-01,357,1,Not sampled in 29.8 years
grid10km,10kmE486N418,1996-04-01,357,1,Not sampled in 29.8 years
grid10km,10kmE443N352,1996-04-01,357,1,Not sampled in 29.8 years
grid10km,10kmE489N399,1996-04-01,357,1,Not sampled in 29.8 years
grid10km,10kmE476N389,1996-05-01,356,1,Not sampled in 29.7 years
